"Entidad","UPM","VIV_SEL","HOGAR","RESUL_H","R_SEL","AREAM","AP4_1","AP4_2_03","FAC_ELE"
"06","0660012","08","01","B","01",NA,"3","0",156
"27","2760638","13","01","B","03",NA,"3","0",552
"17","1760352","15","01","B","01",NA,"3","0",374
"06","0600077","05","01","B","01","33","3","0",150
"06","0600326","01","01","B","01","33","3","0",156
"04","0460217","19","01","B","01",NA,"3","0",378
"21","2107086","03","01","B","01",NA,"3","0",686
"07","0703181","19","02","B","01",NA,"3","0",746
"18","1801270","08","01","B","02",NA,"3","0",336
"19","1902754","01","01","B","01","03","3","0",1875
"06","0600816","04","01","A","01",NA,"2","0",140
"23","2301803","01","01","A","02","41","3","0",432
"20","2060274","18","01","B","01",NA,"3","0",297
"19","1902042","03","01","B","02","03","3","1",924
"29","2901031","19","01","B","02",NA,"3","0",273
"03","0300824","11","01","A","01",NA,"3","1",134
"03","0300820","07","01","B","01",NA,"3","0",66
"26","2605074","04","01","A","02",NA,"3","0",1485
"16","1660524","08","01","B","01",NA,"3","0",337
"25","2505243","05","01","A","03",NA,"3","1",582
"27","2701782","02","01","B","01",NA,"3","0",424
"20","2060203","15","01","B","03",NA,"3","0",2046
"03","0301400","15","01","B","01",NA,"3","0",126
"19","1911371","17","01","B","01",NA,"3","0",1336
"28","2804423","04","01","B","03",NA,"3","1",999
"32","3201296","04","01","B","02",NA,"3","0",342
"25","2504442","03","01","B","04",NA,"1","1",870
"05","0500437","01","01","A","02",NA,"3","1",766
"20","2060636","12","01","B","01",NA,"3","0",2856
"24","2400672","04","01","A","02","07","3","1",896
"09","0905509","04","01","A","01","01","3","1",1472
"18","1800604","03","01","A","02","27","3","0",456
"02","0206185","01","01","A","02","21","3","1",784
"12","1261255","08","01","A","02",NA,"3","1",1516
"03","0301075","03","01","A","01",NA,"1","0",200
"21","2103837","03","01","B","01",NA,"3","0",1281
"09","0916192","05","01","A","02","01","3","0",2810
"29","2901098","19","01","B","03",NA,"3","0",452
"15","1525446","12","01","A","04",NA,"2","0",8536
"20","2000362","01","01","B","01","31","3","0",980
"29","2960185","07","01","B","02",NA,"3","0",212
"31","3100275","02","01","B","01","08","3","0",163
"13","1302425","15","01","B","02",NA,"3","0",520
"16","1605961","06","02","A","01",NA,"3","0",566
"30","3000922","03","01","B","01",NA,"1","0",560
"04","0400904","02","01","A","02",NA,"3","0",194
"18","1801187","05","01","B","01","27","3","0",294
"12","1261628","14","01","B","02",NA,"3","0",612
"20","2061761","16","01","B","01",NA,"3","0",1440
"17","1702009","07","01","B","03",NA,"3","0",916
"17","1701301","02","01","A","04","29","3","0",816
"07","0704364","04","01","B","02",NA,"1","0",780
"31","3100848","01","01","B","01","08","3","0",470
"32","3200383","05","01","B","02","32","3","1",597
"27","2701711","13","01","A","01",NA,"3","1",300
"31","3100461","05","01","B","01","08","1","0",432
"20","2061539","17","01","A","01",NA,"2","0",423
"30","3008766","11","01","B","03",NA,"3","1",1926
"22","2201763","04","01","A","01",NA,"3","0",810
"15","1527245","16","02","A","02",NA,"3","0",4076
"25","2560353","19","01","B","02",NA,"3","0",738
"04","0460096","12","01","B","02",NA,"3","0",166
"21","2107465","11","01","B","01",NA,"3","0",380
"30","3062661","19","01","B","02",NA,"3","0",1144
"05","0560035","19","01","B","02",NA,"3","0",658
"10","1003116","19","01","A","01",NA,"3","0",732
"02","0202909","03","01","B","01",NA,"1","0",474
"21","2161338","17","01","B","03",NA,"3","0",1328
"22","2202284","04","01","A","02","36","1","0",362
"14","1403451","03","01","B","02","02","3","0",1396
"12","1204274","07","01","A","01",NA,"3","0",754
"17","1760313","11","01","B","02",NA,"3","0",396
"20","2061686","11","01","A","01",NA,"3","0",532
"24","2403947","16","01","B","01",NA,"3","0",622
"29","2900892","04","01","B","01","39","3","0",546
"06","0601530","05","01","B","02",NA,"1","0",86
"32","3201028","03","01","A","02","32","3","0",940
"26","2605345","16","01","B","01",NA,"3","0",571
"23","2301217","01","01","A","01","41","3","0",356
"21","2105450","03","01","B","07","04","3","0",3724
"18","1800358","02","01","B","01","27","3","0",326
"17","1760313","07","01","B","01",NA,"3","0",396
"29","2901488","05","01","A","01","39","3","0",408
"04","0401298","13","01","A","05",NA,"3","1",360
"12","1261339","20","01","B","02",NA,"3","0",1098
"15","1523608","03","01","B","02",NA,"1","0",2826
"12","1261586","05","01","B","02",NA,"3","0",770
"31","3101784","03","01","B","02","08","3","0",864
"20","2060999","06","01","B","01",NA,"3","0",453
"03","0300770","19","01","B","02",NA,"3","0",470
"01","0100273","02","01","B","02","14","3","0",394
"25","2503170","04","01","B","01",NA,"3","0",263
"17","1701116","02","01","A","01","29","3","0",756
"11","1100288","04","01","B","01",NA,"3","0",1108
"25","2502879","03","01","A","02",NA,"3","0",940
"30","3009813","07","01","B","01",NA,"3","0",1332
"21","2107298","08","01","B","03",NA,"2","0",804
"14","1408193","03","01","B","02","02","3","0",2277
"21","2160495","15","01","B","02",NA,"3","0",698
"08","0804254","03","01","B","01",NA,"3","0",782
"06","0601398","20","01","B","02",NA,"3","1",158
"29","2900399","02","01","B","02","39","3","1",596
"32","3260327","12","01","A","01",NA,"3","1",414
"06","0601291","19","01","B","01",NA,"3","0",312
"16","1600766","02","01","B","01","15","3","0",344
"12","1200983","03","01","A","02","13","3","1",772
"29","2960002","19","01","B","01",NA,"3","0",144
"16","1604988","07","01","B","01",NA,"3","1",936
"27","2700527","03","01","B","04","18","2","1",916
"30","3004193","04","01","A","01","12","3","0",2289
"28","2860515","12","01","B","01",NA,"3","0",710
"27","2760821","02","01","B","02",NA,"3","0",588
"20","2002054","01","01","B","01",NA,"3","1",884
"21","2161791","16","02","B","02",NA,"3","0",894
"09","0902465","03","01","B","02","01","3","0",5704
"13","1360738","21","01","B","02",NA,"3","0",484
"31","3160181","10","01","B","04",NA,"3","0",735
"27","2700371","01","01","A","01","18","3","0",760
"06","0600151","02","01","A","01","33","3","0",69
"05","0501649","01","01","B","01","17","3","1",736
"04","0401487","09","01","B","02",NA,"3","0",212
"16","1603965","02","01","B","02",NA,"3","0",722
"25","2560038","07","01","A","02",NA,"3","0",378
"17","1702592","13","01","B","01",NA,"3","0",370
"07","0702947","06","01","B","01",NA,"3","0",373
"07","0702827","01","01","B","03",NA,"3","0",2022
"17","1760167","20","01","B","01",NA,"3","0",471
"02","0260230","15","01","B","02",NA,"3","0",896
"14","1400310","03","01","B","02","02","3","0",3516
"21","2106179","12","01","B","01",NA,"3","0",1572
"05","0505664","02","01","A","03",NA,"3","0",1179
"24","2404175","18","01","B","02",NA,"1","1",760
"04","0400617","04","01","B","02","28","3","0",196
"20","2003098","03","01","B","01","31","3","0",1300
"07","0701368","04","01","B","01","19","3","0",505
"08","0808024","12","01","B","01",NA,"3","0",580
"10","1060081","18","01","B","02",NA,"3","0",756
"13","1301142","05","01","B","01",NA,"3","0",377
"05","0502387","03","01","B","02","17","3","0",798
"05","0505920","07","01","B","02",NA,"3","1",1224
"28","2805493","04","02","B","01","10","3","0",480
"03","0300551","01","01","A","01","40","3","1",324
"08","0808018","05","01","B","01",NA,"3","0",316
"13","1360783","10","01","B","01",NA,"3","0",272
"22","2202395","04","01","A","01","36","3","0",422
"07","0760629","06","01","B","03",NA,"3","0",1248
"12","1203673","18","01","B","01",NA,"3","0",876
"24","2401979","03","01","B","01","07","3","0",377
"27","2702172","03","01","A","02",NA,"1","0",254
"16","1604836","06","01","B","02",NA,"3","0",672
"12","1204177","11","01","A","01",NA,"3","0",328
"28","2808121","02","01","B","02",NA,"3","0",712
"30","3000307","03","01","B","01","12","3","0",1698
"31","3102515","04","01","B","01","08","3","0",404
"12","1203647","11","01","B","02",NA,"3","1",972
"10","1001664","05","01","B","04",NA,"3","0",724
"31","3103338","01","01","B","01",NA,"3","0",288
